;;Female Adults Held in Prisons, Penal Institutions or Correctional Institutions;;;;;;;;;;;;;;;;;;;;;;;;;;;
Definitions:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 “Persons Held in Prisons, Penal Institutions or Correctional Institutions” means persons held in Prisons, Penal Institutions or Correctional Institutions on a specified day and should exclude non-criminal prisoners held for administrative purposes, for example, persons held pending investigation into their immigration status or foreign citizens without a legal right to stay.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data supplied by countries ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
may not exactly reflect the definition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 provided by UNODC.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;hoi;;;;;;;;;;;;;;;;;;;;;
   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dowload full Dataset;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;;Rate per 100,000 female adults aged 18 or over;;;;;;;;;;;;
Region;Sub Region;Country;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Africa;Eastern Africa;Burundi;;;;237;241;257;288;329;432;146;363;375;;;;;;12.22;11.87;12.10;12.99;14.24;18.07;5.91;14.24;14.27;
Africa;Eastern Africa;Kenya*;;;;;;1,203;1,43;1,629;1,625;799;1,756;1,474;2,257;;;;;;;12.11;13.98;15.46;14.97;7.15;15.24;12.41;18.45
Africa;Eastern Africa;Madagascar;;;;;;;;692;817;834;793;812;866;;;;;;;;;13.04;14.88;14.68;13.49;13.34;13.74
Africa;Eastern Africa;Mauritius;125;124;141;126;120;117;137;132;156;147;;;;;28.96;28.51;32.14;28.49;26.87;25.89;29.95;28.52;33.25;30.94;;;
Africa;Eastern Africa;Mozambique;;485;577;613;470;642;807;;;;;;;;;9.09;10.56;11.01;8.26;11.03;13.55;;;;;;
Africa;Eastern Africa;Seychelles;7;10;5;10;12;16;;;;;;;;;23.66;32.83;16.01;31.73;37.76;49.91;;;;;;;
Africa;Eastern Africa;Uganda;813;701;707;751;714;1,07;1,168;1,296;1,272;1,351;1,634;1,848;;;13.74;11.46;11.18;11.49;10.55;15.27;16.08;17.21;16.28;16.66;19.41;21.14;
Africa;Eastern Africa;Zimbabwe;723;648;570;706;653;458;;;;;;;;;22.17;19.76;17.29;21.26;19.54;13.61;;;;;;;
Africa;Middle Africa;Cameroon*;;;375;;;399;467;488;493;515;548;554;;;;;8.39;;;8.18;9.29;9.42;9.25;9.38;9.70;9.53;
Africa;Northern Africa;Algeria;;;;600;895;971;;1,031;949;946;1,032;1,06;915;;;;;5.38;7.82;8.26;;8.35;7.53;7.36;7.87;7.94;6.74
Africa;Northern Africa;Morocco;;;393;602;1,545;1,734;1,399;1,721;;;;;;;;;4.02;6.03;15.17;16.68;13.20;15.94;;;;;
Africa;Southern Africa;Botswana*;;538;458;370;284;236;266;751;126;;88;71;;;;101.17;84.43;67.12;50.77;41.61;46.28;128.99;21.41;;14.61;11.65;
Africa;Southern Africa;Lesotho;;;;;70;70;70;;;;;;;;;;;;12.68;12.52;12.36;;;;;;
Africa;Southern Africa;Swaziland;62;54;104;102;;;;;;;;;;;21.89;18.84;35.74;34.28;;;;;;;;;
Africa;Western Africa;Burkina Faso;;;;;74;;;;68;;;;;;;;;;2.13;;;;1.73;;;;
Africa;Western Africa;Guinea;;;;;112;133;;;;;;;;;;;;;4.43;5.11;;;;;;;
Africa;Western Africa;Nigeria;;;;;;765;789;882;921;;1,022;;;;;;;;;2.05;2.06;2.25;2.29;;2.41;;
Africa;Western Africa;Senegal*;;156;234;218;212;256;280;279;;;;;;;;5.58;8.10;7.31;6.89;8.06;8.54;8.25;;;;;
Africa;Western Africa;Sierra Leone;;;41;35;66;60;;;;;;;;;;;3.10;2.56;4.71;4.18;;;;;;;
Africa;Western Africa;Togo;;;;;;;;;;105;;;;;;;;;;;;;;5.96;;;
Americas;Caribbean;Bahamas;;;;;;;;;;45;;;;;;;;;;;;;;31.92;;;
Americas;Caribbean;Barbados;;;;;40;29;38;45;38;38;29;35;68;;;;;;37.75;27.16;35.30;41.48;34.75;34.49;26.14;31.34;60.50
Americas;Caribbean;Dominican Republic;;;;470;;;;;491;;;;;;;;;16.13;;;;;15.16;;;;
Americas;Caribbean;Grenada;;;;;;;7;11;8;5;6;1;7;;;;;;;;20.17;31.35;22.59;13.99;16.64;2.75;19.14
Americas;Caribbean;Jamaica;;;;;;;154;;186;195;156;140;136;;;;;;;;16.96;;20.07;20.78;16.38;14.48;13.86
Americas;Caribbean;Puerto Rico;;;;;;400;331;328;376;432;404;404;369;;;;;;;27.28;22.52;22.26;25.44;29.14;27.16;27.08;24.65
Americas;Caribbean;Saint Kitts and Nevis;;;;;;;1;4;4;;;;;;;;;;;;6.49;25.70;25.45;;;;
Americas;Caribbean;Saint Vincent and the Grenadines;;35;;50;50;22;37;12;23;;;;;;;100.20;;140.45;139.40;60.92;101.75;32.76;62.30;;;;
Americas;Caribbean;Trinidad and Tobago;;120;116;99;122;123;184;123;123;118;110;89;397;;;25.53;24.27;20.41;24.82;24.73;36.63;24.28;24.11;23.00;21.35;17.21;76.57
Americas;Central America;Belize;;;33;26;;;73;50;101;129;181;160;;;;;43.50;33.06;;;83.56;55.31;107.90;133.17;180.67;154.52;
Americas;Central America;Costa Rica;;;626;503;439;471;558;648;758;1,036;732;755;564;;;;44.46;34.73;29.49;30.80;35.57;40.31;46.06;61.58;42.60;43.04;31.51
Americas;Central America;El Salvador;;;585;827;1,105;1,545;1,937;2,393;2,431;2,647;2,523;2,714;3,176;;;;30.74;42.69;56.14;77.31;95.36;115.74;115.54;123.43;115.34;121.73;139.91
Americas;Central America;Guatemala;;;;;;;;;;1,249;;;;;;;;;;;;;;29.81;;;
Americas;Central America;Honduras;;;;;;;;413;393;438;531;659;754;;;;;;;;;18.97;17.51;18.92;22.26;26.83;29.83
Americas;Central America;Mexico*;8,755;9,54;10,373;10,685;10,888;10,97;11,099;9,839;10,619;10,43;12,361;11,925;11,372;;25.05;26.75;28.51;28.78;28.76;28.42;28.20;24.52;25.95;24.99;29.03;27.47;25.70
Americas;Central America;Nicaragua;;;370;385;486;323;335;270;;;;;;;;;23.95;24.29;29.91;19.38;19.59;15.38;;;;;
Americas;Central America;Panama*;;;761;748;762;604;633;880;906;1,009;1,013;1,051;1,07;;;;71.48;68.60;68.27;52.88;54.17;73.64;74.18;80.83;79.40;80.61;80.29
Americas;Northern America;Bermuda;24;30;;;;;;;;;;;;;97.78;120.88;;;;;;;;;;;
Americas;Northern America;United States of America;;184,5;193,4;203,1;206,6;206,7;200,1;197,4;196,6;191,5;198,9;206,4;198,9;;;161.66;167.51;174.16;175.21;173.26;165.82;161.81;159.51;153.86;158.33;162.82;155.50
Americas;South America;Argentina;;;2,172;2,791;2,804;2,807;2,633;2,719;2,911;2,854;2,839;2,989;2,963;;;;15.81;20.04;19.87;19.63;18.18;18.53;19.60;18.97;18.64;19.39;19.00
Americas;South America;Brazil*;;;;23,065;25,83;28,654;31,401;34,807;34,058;35,223;35,1;37,38;36,495;;;;;35.34;38.86;42.37;45.67;49.84;47.98;48.88;48.00;50.36;48.42
Americas;South America;Chile;2,275;2,265;2,328;2,626;3,228;3,986;4,638;5,071;5,172;4,896;4,148;3,607;3,467;;40.59;39.67;40.01;44.33;53.50;64.87;74.13;79.64;79.88;74.41;62.09;53.23;50.49
Americas;South America;Colombia;4,179;4,635;4,122;3,395;3,632;4,193;4,788;5,684;7,483;8,497;8,986;7,948;;;30.91;33.51;29.14;23.48;24.58;27.77;31.04;36.09;46.56;51.83;53.75;46.65;
Americas;South America;Ecuador;1,004;1,129;;;;;868;1,071;1,348;1,745;2,106;1,626;;;24.84;27.23;;;;;18.52;22.33;27.48;34.79;41.09;31.05;
Americas;South America;Guyana;;51;54;81;101;89;84;97;87;106;70;;67;;;22.76;24.12;35.93;44.60;39.19;36.92;42.55;37.86;45.72;29.87;;27.91
Americas;South America;Paraguay;;;265;276;286;289;313;328;447;542;652;778;826;;;;15.71;15.90;16.03;15.75;16.61;16.95;22.51;26.63;31.27;36.43;37.78
Americas;South America;Peru;;;2,318;2,485;2,759;2,951;;;;3,879;4,237;4,372;4,545;;;;26.91;28.32;30.88;32.44;;;;39.53;42.33;42.82;43.66
Americas;South America;Uruguay;280;287;;;;;;688;636;624;655;565;;;22.40;22.91;;;;;;53.16;48.81;47.57;49.61;42.53;
Asia;Central Asia;Kazakhstan;;;2,432;2,581;;2,871;3,129;2,922;3,158;2,949;2,945;3,01;2,975;;;;43.86;45.83;;49.60;53.40;49.29;52.76;48.74;48.16;48.77;47.83
Asia;Central Asia;Kyrgyzstan;666;608;520;510;330;218;;;;;;;287;;42.88;38.67;32.57;31.46;20.00;12.97;;;;;;;15.23
Asia;Central Asia;Turkmenistan;1,497;1,554;1,549;1,351;;;;;;;;;;;106.20;107.99;105.16;89.75;;;;;;;;;
Asia;Eastern Asia;China;;;;;;;;;;95,476;;106,88;;;;;;;;;;;;18.23;;20.09;
Asia;Eastern Asia;China, Hong Kong Special Administrative Region;2,3;2,355;2,029;2,018;2,006;2,044;1,745;1,832;1,467;1,675;1,658;;;;78.34;79.37;67.60;66.31;64.98;65.27;54.98;57.03;45.14;51.01;50.02;;
Asia;Eastern Asia;China, Macao Special Administrative Region*;;;;;;104;127;140;158;178;194;211;212;;;;;;;47.80;56.06;59.60;65.58;72.28;77.28;82.62;81.69
Asia;Eastern Asia;Japan;4,288;4,543;4,834;5,156;5,239;5,217;5,211;5,343;5,344;5,282;5,057;5,044;;;7.93;8.36;8.85;9.41;9.53;9.47;9.44;9.66;9.65;9.53;9.12;9.09;
Asia;Eastern Asia;Mongolia;249;270;324;332;371;491;407;453;490;484;342;395;270;;32.66;34.34;39.95;39.66;43.06;55.53;44.94;48.89;51.92;50.33;34.91;39.66;26.72
Asia;Eastern Asia;Republic of Korea;3,566;3,417;2,561;2,311;2,395;2,498;1,507;2,343;2,393;2,545;2,898;2,923;;;19.78;18.74;13.90;12.39;12.69;13.08;7.79;11.96;12.08;12.70;14.30;14.26;
Asia;South-Eastern Asia;Brunei Darussalam;37;31;;;;;;;;;;;;;32.26;26.43;;;;;;;;;;;
Asia;South-Eastern Asia;Indonesia;;;;;;;;;;7,714;8,087;8,381;9,414;;;;;;;;;;;9.51;9.79;9.97;11.01
Asia;South-Eastern Asia;Philippines*;;5,018;5,674;5,753;5,633;5,494;5,443;5,673;5,905;6,299;6,669;7,892;9,054;;;21.09;23.24;22.99;21.95;20.88;20.19;20.55;20.85;21.72;22.46;25.96;29.08
Asia;South-Eastern Asia;Singapore*;1,51;1,5;1,81;1,436;1,042;1,084;1,159;1,194;1,137;1,17;1,253;1,232;1,238;;92.02;88.36;103.09;79.26;55.81;56.37;58.55;58.62;54.29;54.38;56.74;54.40;53.36
Asia;South-Eastern Asia;Thailand;;;27,187;23,579;;;30,153;;;;;35,979;36,851;;;;110.08;94.08;;;116.44;;;;;132.52;134.65
Asia;Southern Asia;Bangladesh;;;2,216;2,158;;;;;;;;;;;;;5.40;5.13;;;;;;;;;
Asia;Southern Asia;Bhutan;;;;;;;;;;40;47;;;;;;;;;;;;;18.45;21.09;;
Asia;Southern Asia;India;;12,97;13,986;14,657;15,401;15,929;15,406;15,037;16,024;16,951;18,188;;;;;3.93;4.14;4.25;4.36;4.42;4.18;4.00;4.18;4.34;4.57;;
Asia;Southern Asia;Maldives;;209;;;;;;;;;;;;;;254.95;;;;;;;;;;;
Asia;Southern Asia;Sri Lanka;746;785;;;;;;;;;;;;;10.94;11.30;;;;;;;;;;;
Asia;Western Asia;Armenia;;59;78;85;106;123;148;157;205;197;198;181;172;;;5.13;6.80;7.45;9.36;10.93;13.23;14.08;18.35;17.54;17.49;15.88;15.02
Asia;Western Asia;Azerbaijan;;267;242;249;249;341;359;367;403;415;559;632;;;;9.11;8.06;8.10;7.91;10.58;10.90;10.90;11.74;11.88;15.75;17.55;
Asia;Western Asia;Bahrain;;;103;209;898;857;;;;;;;;;;;46.69;86.96;341.34;298.33;;;;;;;
Asia;Western Asia;Cyprus;11;20;16;19;21;42;31;45;35;43;25;30;31;;2.97;5.26;4.12;4.81;5.23;10.29;7.47;10.66;8.17;9.88;5.65;6.68;6.80
Asia;Western Asia;Georgia;;;253;660;;770;962;1,171;1,213;925;250;281;;;;;13.66;35.64;;41.40;51.62;62.73;65.02;49.63;13.44;15.17;
Asia;Western Asia;Iraq (Central Iraq);;;;;;279;346;562;789;962;933;;;;;;;;;1.12;1.36;2.14;2.91;3.43;3.21;;
Asia;Western Asia;Israel;166;197;345;349;471;478;;237;240;222;210;207;;;7.55;8.78;15.05;14.83;19.47;19.23;;9.10;9.10;8.34;7.82;7.65;
Asia;Western Asia;Jordan;;;185;172;181;162;194;127;;1,968;;;;;;;13.06;11.56;11.55;9.78;11.08;6.86;;96.26;;;
Asia;Western Asia;Lebanon;;;222;227;;;161;195;270;245;232;;288;;;;17.46;17.31;;;11.34;13.25;17.41;14.93;13.40;;15.38
Asia;Western Asia;Qatar;22;5;103;88;;81;;;;;;;;;15.17;3.23;61.69;46.50;;33.33;;;;;;;
Asia;Western Asia;Saudi Arabia;;;;;;;;;;;;;10;;;;;;;;;;;;;;0.13
Asia;Western Asia;State of Palestine;;;;;35;166;177;267;269;199;;;;;;;;;3.92;17.94;18.40;26.68;25.81;18.35;;;
Asia;Western Asia;Syrian Arab Republic;398;380;;;;;;;;;;;;;8.80;8.15;;;;;;;;;;;
Asia;Western Asia;Turkey;2,193;1,951;1,834;2,444;3,179;3,599;4,013;4,15;4,539;4,538;5,156;5,729;6,403;;9.92;8.64;7.95;10.38;13.24;14.71;16.10;16.34;17.55;17.23;19.23;21.00;23.07
Asia;Western Asia;United Arab Emirates;;;1,363;1,229;;;;;;1,175;1,173;1,137;;;;;161.69;123.83;;;;;;60.16;58.82;56.08;
Asia;Western Asia;Yemen;;502;170;116;127;122;142;;;;;;;;;11.09;3.61;2.37;2.49;2.30;2.57;;;;;;
Europe;Eastern Europe;Belarus;2,504;2,279;2,241;2,551;3,039;2,98;2,901;2,984;2,656;1,937;1,984;2,228;;;59.91;54.39;53.33;60.55;71.96;70.46;68.57;70.59;63.02;46.13;47.47;53.60;
Europe;Eastern Europe;Bulgaria;294;349;387;371;333;290;240;291;289;307;263;258;245;;8.89;10.58;11.77;11.32;10.20;8.93;7.43;9.07;9.07;9.71;8.38;8.29;7.94
Europe;Eastern Europe;Czechia*;;822;904;925;999;1,079;999;1,282;1,48;1,446;954;1,164;1,43;;;19.13;20.93;21.32;22.86;24.49;22.50;28.68;32.95;32.07;21.10;25.70;31.56
Europe;Eastern Europe;Hungary;989;979;980;942;899;923;989;1,009;1,216;1,225;1,336;1,332;;;22.75;22.50;22.50;21.62;20.62;21.14;22.63;23.08;27.81;28.04;30.62;30.59;
Europe;Eastern Europe;Poland;1,26;1,486;2,235;2,55;2,501;2,455;2,434;2,515;2,456;2,638;2,591;2,484;2,336;;8.08;9.45;14.11;16.00;15.60;15.24;15.04;15.47;15.07;16.14;15.82;15.14;14.24
Europe;Eastern Europe;Republic of Moldova;;277;411;436;446;415;401;387;403;451;429;458;;;;18.33;27.26;28.93;29.57;27.52;26.61;25.72;26.86;30.15;28.77;30.86;
Europe;Eastern Europe;Romania;1,503;1,466;1,595;1,509;1,38;1,211;1,194;1,247;1,355;1,405;1,539;1,517;1,427;;16.68;16.15;17.45;16.40;14.92;13.06;12.87;13.45;14.65;15.22;16.71;16.51;15.57
Europe;Eastern Europe;Russian Federation;;34,979;40,839;47,591;51,236;55,341;;66,564;61,768;57,748;55,755;54,702;52,703;;;55.82;64.77;75.03;80.29;86.29;;103.28;95.92;89.91;87.14;85.89;83.20
Europe;Eastern Europe;Slovakia;231;369;378;378;369;408;488;551;618;646;583;611;628;;10.60;16.79;17.06;16.94;16.42;18.03;21.43;24.06;26.88;28.00;25.19;26.35;27.06
Europe;Eastern Europe;Ukraine;9,124;9,297;8,479;7,62;6,925;6,421;6,361;6,731;6,862;;;;;;43.60;44.43;40.51;36.38;33.04;30.63;30.35;32.16;32.98;;;;
Europe;Northern Europe;Denmark;105;174;176;183;175;155;178;183;164;149;189;145;118;;4.90;8.12;8.19;8.49;8.08;7.12;8.12;8.29;7.39;6.67;8.41;6.42;5.19
Europe;Northern Europe;Estonia*;131;150;141;137;156;190;149;193;181;162;154;;153;;22.37;25.61;24.07;23.40;26.68;32.58;25.63;33.32;31.38;28.18;26.88;;26.93
Europe;Northern Europe;Finland;148;167;235;242;241;218;238;245;228;219;253;237;228;;6.98;7.84;10.98;11.26;11.15;10.03;10.88;11.13;10.30;9.85;11.33;10.57;10.14
Europe;Northern Europe;Iceland;5;7;7;6;8;9;7;8;8;13;5;;;;4.71;6.51;6.42;5.42;7.10;7.85;6.00;6.74;6.65;10.66;4.04;;
Europe;Northern Europe;Ireland;71;68;;;98;111;123;147;138;155;122;120;115;;4.68;4.38;;;5.98;6.68;7.30;8.62;8.01;8.91;6.94;6.76;6.42
Europe;Northern Europe;Latvia;;;297;326;325;380;402;421;416;416;347;343;355;;;;29.81;32.99;33.15;39.09;41.71;44.06;43.83;44.11;37.02;36.86;38.47
Europe;Northern Europe;Lithuania;195;262;308;314;337;355;367;414;417;435;428;377;295;;13.66;18.44;21.78;22.35;24.17;25.67;26.74;30.34;30.71;32.11;31.63;27.90;21.90
Europe;Northern Europe;Norway*;166;175;178;207;183;192;211;221;252;248;200;1,212;1,276;;9.34;9.79;9.88;11.38;9.96;10.33;11.21;11.61;13.10;12.76;10.18;61.07;63.62
Europe;Northern Europe;Sweden;272;320;375;399;385;392;374;394;390;362;330;316;316;;7.61;8.92;10.38;10.99;10.51;10.60;10.01;10.44;10.24;9.43;8.55;8.14;8.10
Europe;Northern Europe;United Kingdom (England and Wales)*;3,505;3,936;4,407;4,344;4,167;4,339;4,183;4,197;4,146;4,086;3,807;3,901;3,881;;16.48;18.40;20.40;19.94;18.97;19.59;18.74;18.65;18.47;17.89;16.57;16.85;
Europe;Northern Europe;United Kingdom (Northern Ireland);;;32;49;45;47;47;46;45;51;64;58;43;;;;4.76;7.20;6.52;6.73;6.67;6.47;6.29;7.09;8.86;7.98;
Europe;Northern Europe;United Kingdom (Scotland);197;286;297;306;328;367;380;385;424;425;406;399;393;;9.36;13.52;13.94;14.28;15.19;16.89;17.39;17.47;19.09;19.06;18.21;17.89;
Europe;Southern Europe;Albania*;80;59;66;79;84;101;113;96;84;82;89;109;121;;7.41;5.46;6.09;7.22;7.62;9.10;10.11;8.50;7.33;7.05;7.53;9.07;9.93
Europe;Southern Europe;Andorra*;;;;;8;13;10;8;7;4;6;12;;;;;;;24.24;38.24;25.00;19.51;16.67;9.52;13.95;27.91;
Europe;Southern Europe;Bosnia and Herzegovina;;;;;;;;60;38;;56;60;86;;;;;;;;;3.84;2.42;;3.53;3.77;5.37
Europe;Southern Europe;Croatia;63;98;133;185;188;209;218;228;245;202;188;182;160;;3.40;5.29;7.17;9.96;10.12;11.27;11.77;12.32;13.28;10.98;10.23;9.92;8.74
Europe;Southern Europe;Greece;;;604;597;593;744;554;577;562;557;648;561;488;;;;12.97;12.79;12.68;15.89;11.82;12.30;11.98;11.88;13.81;11.96;10.41
Europe;Southern Europe;Italy;2,493;2,589;2,804;1,67;2,175;2,526;2,751;2,93;2,808;2,804;2,694;2,304;2,107;;9.98;10.29;11.07;6.55;8.47;9.77;10.57;11.19;10.69;10.65;10.22;8.74;7.98
Europe;Southern Europe;Kosovo under UNSCR 1244;;;;;;;;;46;48;57;59;42;;;;;;;;;;7.65;7.92;9.31;9.53;
Europe;Southern Europe;Malta*;11;15;15;18;28;29;28;34;35;47;44;37;39;;6.84;9.21;9.11;10.80;16.64;17.09;16.37;19.72;20.16;26.86;24.94;20.81;21.79
Europe;Southern Europe;Montenegro;15;7;15;17;16;18;39;59;37;53;19;31;35;;6.31;2.93;6.25;7.07;6.64;7.46;16.12;24.30;15.19;21.66;7.73;12.55;14.12
Europe;Southern Europe;Portugal;572;939;875;885;797;647;613;627;711;758;839;835;855;;12.96;21.16;19.62;19.78;17.76;14.38;13.59;13.87;15.69;16.69;18.44;18.33;18.73
Europe;Southern Europe;Serbia;;;;;308;321;402;427;423;240;402;360;357;;;;;;7.76;8.10;10.17;10.82;10.72;6.09;10.21;9.15;9.09
Europe;Southern Europe;Slovenia;27;34;47;53;60;59;64;53;57;70;64;89;81;;3.22;4.03;5.54;6.21;7.00;6.85;7.41;6.12;6.57;8.06;7.35;10.21;9.28
Europe;Southern Europe;Spain;4,302;4,57;4,763;5,109;5,592;5,95;6,076;5,652;5,157;5,068;4,925;4,874;4,623;;24.23;25.32;25.99;27.50;29.71;31.24;31.58;29.13;26.43;25.88;25.09;24.79;23.47
Europe;Southern Europe;The former Yugoslav Republic of Macedonia;30;31;42;39;;;55;55;50;;;;;;3.86;3.95;5.30;4.88;;;6.71;6.66;6.01;;;;
Europe;Western Europe;Austria;;;424;430;423;396;460;511;538;568;538;501;;;;;12.28;12.39;12.11;11.27;13.00;14.36;15.04;15.80;14.90;13.81;
Europe;Western Europe;Belgium;;;;;;;;;;;;;525;;;;;;;;;;;;;;11.47
Europe;Western Europe;France;;;;2,152;2,246;2,093;2,021;1,927;2,167;2,18;2,131;2,073;2,119;;;;;8.53;8.84;8.18;7.86;7.45;8.33;8.34;8.10;7.84;7.97
Europe;Western Europe;Germany;;;;;;3,93;3,857;3,845;3,927;3,943;3,797;3,639;3,609;;;;;;;11.01;10.80;10.77;11.01;11.06;10.65;10.21;10.13
Europe;Western Europe;Liechtenstein;;;5;18;;4;9;5;3;3;3;4;;;;;24.68;88.35;;19.36;43.31;23.86;14.20;14.08;14.02;18.65;
Europe;Western Europe;Luxembourg;;;;32;34;32;38;23;36;31;31;25;40;;;;;17.20;17.88;16.43;19.08;11.32;17.46;14.84;14.66;11.67;18.44
Europe;Western Europe;Monaco;3;6;7;11;8;4;2;3;6;7;5;;;;20.93;42.15;49.51;78.34;57.37;28.89;14.55;21.97;44.26;51.58;36.76;;
Europe;Western Europe;Netherlands;;;868;868;813;940;896;872;789;712;673;662;489;;;;13.39;13.33;12.41;14.26;13.51;13.07;11.76;10.56;9.95;9.75;7.18
Europe;Western Europe;Switzerland;289;357;327;305;280;298;345;319;301;306;347;315;355;;9.62;11.76;10.66;9.83;8.91;9.36;10.69;9.75;9.09;9.14;10.24;9.19;10.25
Oceania;Australia and New Zealand;Australia;1,198;1,277;;;1,984;1,957;2,125;2,228;2,028;2,199;2,349;2,591;2,876;;15.58;16.34;;;24.04;23.23;24.73;25.45;22.83;24.42;25.76;28.05;30.75
Oceania;Australia and New Zealand;New Zealand;;;455;441;426;418;484;527;494;491;421;553;599;;;;28.73;27.44;26.15;25.33;28.96;31.11;28.82;28.28;23.93;31.05;33.25
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jan 8, 2019, 2:32 PM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
